"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"1",1,0.29,11,1,194,0.01,194,5.15e-05,0.01,45.6,NA,"22-Jan",9,"762","Nitrogen","5","5B","T. pratense","Greece","T. hybridum","Colorado","treat"
"2",4,0.09,9,1,83,0.0054,83,6.51e-05,0.0054,34.6,"CPT","14-Jan",1,"859","Nitrogen","4","4B","T. repens","Chile","T. hybridum","Russia","treat"
"3",5,0.2,9,1,0,NA,NA,NA,NA,43.3,"CPT","14-Jan",1,"56","Nitrogen","5","5B","T. repens","Idaho","T. hybridum","Colorado","treat"
"4",7,0.09,6,1,58,0.0053,58,9.14e-05,0.0053,41,"CPT","14-Jan",1,"328","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Colorado","treat"
"5",9,0.15,14,1,64,0.0152,64,0.0002375,0.0152,45.8,"CPT","14-Jan",1,"173","Control","2","2A","T. repens","Chile","T. repens","Idaho","treat"
"6",13,0.06,7,1,1,NA,1,NA,NA,36.3,"CPT","14-Jan",1,"559","Control","4","4A","T. pratense","Pennsylvania","T. hybridum","Colorado","treat"
"7",14,0.35,23,4,123,0.0091,123,7.4e-05,0.0091,50.7,"MH","14-Jan",1,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. repens","Chile","treat"
"8",16,0.12,12,1,37,0.0071,37,0.000191892,0.0071,32.9,"ES","18-Jan",5,"110","Control","4","4A","T. repens","Idaho","T. hybridum","Russia","treat"
"9",17,0.24,6,1,77,0.0254,77,0.00032987,0.0254,40.7,"MH","14-Jan",1,"758","Control","1","1A","T. repens","Idaho","T. pratense","Greece","treat"
"10",18,0.22,20,3,80,0.034,80,0.000425,0.034,41.1,"JL","14-Jan",1,"262","Nitrogen","2","2B","T. repens","Idaho","T. repens","Idaho","treat"
"11",20,0.11,8,1,2,5e-05,2,2.5e-05,5e-05,45.9,"JL","14-Jan",1,"344","Control","6","6A","T. pratense","Greece","T. hybridum","Russia","treat"
"12",22,0.04,6,1,27,0.0036,27,0.000133333,0.0036,41.7,"TB","14-Jan",1,"901","Control","2","2A","T. repens","Idaho","T. hybridum","Russia","treat"
"13",23,0.1,12,1,34,0.0087,34,0.000255882,0.0087,39.5,"TB","14-Jan",1,"726","Control","6","6A","T. hybridum","Russia","T. hybridum","Russia","treat"
"14",26,0.07,8,1,47,0.0099,47,0.000210638,0.0099,39,"ES","14-Jan",1,"61","Nitrogen","5","5B","T. pratense","Germany","T. hybridum","Colorado","treat"
"15",27,0.32,18,1,49,0.0104,49,0.000212245,0.0104,45.4,"TB","14-Jan",1,"726","Control","6","6A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"16",31,0.12,16,2,0,NA,NA,NA,NA,29.2,"JL","14-Jan",1,"145","Control","3","3A","T. pratense","Greece","T. hybridum","Russia","treat"
"17",32,0.08,11,2,28,0.0072,28,0.000257143,0.0072,43.6,"JL","14-Jan",1,"493","Control","5","5A","T. pratense","Greece","T. repens","Chile","treat"
"18",33,0.18,6,1,73,0.0304,73,0.000416438,0.0304,42.5,"JL","14-Jan",1,"318","Control","2","2A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"19",34,0.41,12,1,82,0.01,82,0.000121951,0.01,45.4,"KK","14-Jan",1,"116","Nitrogen","1","1B","T. pratense","Greece","T. hybridum","Colorado","treat"
"20",35,0.31,11,1,99,0.0176,99,0.000177778,0.0176,35.8,"JL","14-Jan",1,"110","Control","4","4A","T. repens","Idaho","T. pratense","Greece","treat"
"21",36,0.17,11,1,41,0.0177,41,0.000431707,0.0177,46.1,"JL","14-Jan",1,"901","Control","2","2A","T. repens","Idaho","T. hybridum","Colorado","treat"
"22",37,0.36,9,1,87,0.0158,87,0.000181609,0.0158,54.8,"TB","14-Jan",1,"61","Nitrogen","5","5B","T. pratense","Germany","T. pratense","Pennsylvania","treat"
"23",38,0.16,11,1,60,0.0037,60,6.17e-05,0.0037,29.5,"JL","14-Jan",1,"228","Control","1","1A","T. pratense","Greece","T. hybridum","Russia","treat"
"24",41,0.14,14,1,64,0.0103,64,0.000160938,0.0103,44.2,"JL","14-Jan",1,"50","Control","1","1A","T. pratense","Pennsylvania","T. repens","Idaho","treat"
"25",42,0.01,5,2,0,NA,NA,NA,NA,NA,"JL","14-Jan",1,"773","Nitrogen","4","4B","T. pratense","Greece","T. hybridum","Colorado","treat"
"26",43,0.24,8,1,69,0.0085,69,0.000123188,0.0085,44.4,"CPT","14-Jan",1,"308","Control","6","6A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"27",44,0.37,21,3,73,0.0332,73,0.000454795,0.0332,38.8,"JL","14-Jan",1,"3","Control","6","6A","T. repens","Idaho","T. repens","Idaho","treat"
"28",45,0.39,11,1,94,0.0119,94,0.000126596,0.0119,48.8,"EM","14-Jan",1,"116","Nitrogen","1","1B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"29",46,0.39,14,1,0,NA,NA,NA,NA,40.9,"JJ","14-Jan",1,"643","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Russia","treat"
"30",48,0.12,9,1,36,0.0081,36,0.000225,0.0081,35.7,"JJ","14-Jan",1,"3","Control","6","6A","T. repens","Idaho","T. hybridum","Russia","treat"
"31",53,0.17,6,1,0,NA,NA,NA,NA,39.5,"JL","14-Jan",1,"643","Nitrogen","2","2B","T. pratense","Greece","T. pratense","Greece","treat"
"32",55,0.24,19,1,105,0.0085,105,8.1e-05,0.0085,43.5,"CPT","14-Jan",1,"113","Control","6","6A","T. hybridum","Colorado","T. repens","Chile","treat"
"33",58,0.27,4,1,49,0.0048,49,9.8e-05,0.0048,41.6,NA,"14-Jan",1,"180","Control","5","5A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"34",59,0.44,20,1,87,0.0221,87,0.000254023,0.0221,50.2,"JL","14-Jan",1,"318","Control","2","2A","T. pratense","Pennsylvania","T. hybridum","Colorado","treat"
"35",60,0.37,8,1,109,0.0064,109,5.87e-05,0.0064,47.7,"EM","14-Jan",1,"762","Nitrogen","5","5B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"36",63,0.34,9,1,103,0.0181,103,0.000175728,0.0181,50.5,"CPT","14-Jan",1,"74","Control","1","1A","T. hybridum","Russia","T. pratense","Pennsylvania","treat"
"37",65,0.2,13,2,39,0.0316,39,0.000810256,0.0316,30.4,"CPT","14-Jan",1,"773","Nitrogen","4","4B","T. pratense","Greece","T. repens","Idaho","treat"
"38",66,0.08,5,1,36,0.013,36,0.000361111,0.013,42.6,"TB","14-Jan",1,"262","Nitrogen","2","2B","T. repens","Idaho","T. repens","Idaho","treat"
"39",68,0.34,11,1,107,0.0416,107,0.000388785,0.0416,50.5,"JL","14-Jan",1,"861","Control","5","5A","T. repens","Chile","T. pratense","Pennsylvania","treat"
"40",69,0.3,22,3,49,0.015,49,0.000306122,0.015,50.7,"JL","14-Jan",1,"511","Nitrogen","3","3B","T. pratense","Pennsylvania","T. repens","Chile","treat"
"41",71,0.32,19,1,64,0.0181,64,0.000282813,0.0181,44.5,"TB","14-Jan",1,"627","Control","6","6A","T. repens","Chile","T. hybridum","Russia","treat"
"42",72,0.46,11,2,40,0.0144,40,0.00036,0.0144,53.3,"JJ","14-Jan",1,"493","Control","5","5A","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"43",73,0.18,7,1,104,0.0076,104,7.31e-05,0.0076,46.6,"FD","14-Jan",1,"325","Control","4","4A","T. repens","Chile","T. pratense","Greece","treat"
"44",75,0.38,11,1,320,0.0052,320,1.625e-05,0.0052,40.1,"MH","14-Jan",1,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"45",76,0.23,8,1,169,0.0089,169,5.27e-05,0.0089,35.9,"TB","14-Jan",1,"475","Nitrogen","4","4B","T. repens","Idaho","T. pratense","Greece","treat"
"46",77,0.29,8,1,189,0.0224,189,0.000118519,0.0224,43.3,"FD","14-Jan",1,"61","Nitrogen","5","5B","T. pratense","Germany","T. pratense","Greece","treat"
"47",78,0.03,3,1,38,0.0028,38,7.37e-05,0.0028,22.9,"CPT","14-Jan",1,"837","Control","3","3A","T. hybridum","Russia","T. pratense","Greece","treat"
"48",79,0.18,8,1,251,0.0088,251,3.51e-05,0.0088,38,"ES","14-Jan",1,"108","Control","3","3A","T. hybridum","Colorado","T. pratense","Greece","treat"
"49",80,0.47,15,1,3,5e-05,3,1.67e-05,5e-05,42.9,"ES","14-Jan",1,"56","Nitrogen","5","5B","T. repens","Idaho","T. hybridum","Colorado","treat"
"50",81,0.09,5,1,170,0.0068,170,4e-05,0.0068,20.8,NA,"18-Jan",5,"231","Nitrogen","6","6B","T. repens","France","T. pratense","Greece","treat"
"51",83,0.22,8,1,258,0.0379,258,0.000146899,0.0379,44.8,"JL","14-Jan",1,"50","Control","1","1A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"52",84,0.18,13,1,202,0.0067,202,3.32e-05,0.0067,37.8,"MH","14-Jan",1,"796","Nitrogen","2","2B","T. hybridum","Russia","T. pratense","Greece","treat"
"53",86,0.36,23,3,97,0.0369,97,0.000380412,0.0369,43.9,"JL","14-Jan",1,"61","Nitrogen","5","5B","T. pratense","Germany","T. repens","Chile","treat"
"54",87,0.43,19,2,53,0.0182,53,0.000343396,0.0182,44.3,"JL","14-Jan",1,"461","Control","2","2A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"55",88,0.28,11,1,4,0.0323,4,0.008075,0.0323,54,"JL","14-Jan",1,"318","Control","2","2A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"56",90,0.14,10,2,36,0.0115,36,0.000319444,0.0115,45.8,"JL","14-Jan",1,"116","Nitrogen","1","1B","T. pratense","Greece","T. hybridum","Russia","treat"
"57",91,0.18,11,1,50,0.0097,50,0.000194,0.0097,42.4,"MH","17-Jan",4,"861","Control","5","5A","T. repens","Chile","T. hybridum","Russia","treat"
"58",92,0.63,17,2,159,0.0116,159,7.3e-05,0.0116,48.1,"DW","17-Jan",4,"113","Control","6","6A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"59",93,0.48,34,4,69,0.0122,69,0.000176812,0.0122,52,"MH","14-Jan",1,"796","Nitrogen","2","2B","T. hybridum","Russia","T. repens","Idaho","treat"
"60",94,0.81,14,3,244,0.0523,244,0.000214344,0.0523,53.8,"JL","15-Jan",2,"449","Control","2","2A","T. hybridum","Russia","T. pratense","Pennsylvania","treat"
"61",96,0.06,3,1,60,0.0042,60,7e-05,0.0042,24.1,"MH","15-Jan",2,"699","Nitrogen","5","5B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"62",97,0.43,8,1,227,0.0262,227,0.000115419,0.0262,48.8,"KK","15-Jan",2,"209","Nitrogen","6","6B","T. hybridum","Greece","T. pratense","Pennsylvania","treat"
"63",98,0.18,12,2,182,0.0172,182,9.45e-05,0.0172,33.9,"RP","17-Jan",4,"113","Control","6","6A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"64",99,0.69,18,3,73,0.0267,73,0.000365753,0.0267,39.8,"MH","17-Jan",4,"796","Nitrogen","2","2B","T. hybridum","Russia","T. repens","Idaho","treat"
"65",100,0.52,16,3,131,0.0183,131,0.000139695,0.0183,48.5,"JJ","15-Jan",2,"538","Nitrogen","1","1B","T. hybridum","Russia","T. pratense","Greece","treat"
"66",103,0.11,5,1,90,0.0039,90,4.33e-05,0.0039,25.2,"JL","15-Jan",2,"262","Nitrogen","2","2B","T. repens","Idaho","T. hybridum","Russia","treat"
"67",105,0.75,8,1,66,0.02,66,0.00030303,0.02,53.3,"CPT","15-Jan",2,"145","Control","3","3A","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"68",107,0.34,17,2,60,0.0093,60,0.000155,0.0093,51.1,"TB","17-Jan",4,"415","Control","3","3A","T. repens","Idaho","T. repens","Idaho","treat"
"69",108,0.38,10,1,62,0.0045,62,7.26e-05,0.0045,43.7,"MH","17-Jan",4,"110","Control","4","4A","T. repens","Idaho","T. hybridum","Colorado","treat"
"70",109,0.28,6,1,76,0.0092,76,0.000121053,0.0092,49.9,"MH","14-Jan",1,"308","Control","6","6A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"71",110,0.31,5,1,82,0.0204,82,0.00024878,0.0204,38.8,"MH","14-Jan",1,"231","Nitrogen","6","6B","T. repens","France","T. pratense","Pennsylvania","treat"
"72",111,0.3,6,1,31,0.034,31,0.001096774,0.034,43.2,"CPT","15-Jan",2,"559","Control","4","4A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"73",112,0.35,4,1,65,0.017,65,0.000261538,0.017,NA,"CPT","15-Jan",2,"717","Nitrogen","6","6B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"74",113,0.22,8,1,85,0.0487,85,0.000572941,0.0487,39.4,"CPT","15-Jan",2,"596","Nitrogen","1","1B","T. repens","Idaho","T. repens","Chile","treat"
"75",115,0.13,8,1,55,0.0113,55,0.000205455,0.0113,19,"MH","16-Jan",3,"729","Control","1","1A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"76",116,0.43,11,1,276,0.0659,276,0.000238768,0.0659,42,"CPT","17-Jan",4,"180","Control","5","5A","T. repens","Idaho","T. pratense","Greece","treat"
"77",117,0.33,16,2,71,0.0198,71,0.000278873,0.0198,47.2,"CPT","15-Jan",2,"478","Nitrogen","2","2B","T. repens","Chile","T. repens","Idaho","treat"
"78",118,0.59,7,1,56,0.01,56,0.000178571,0.01,50.3,"CPT","15-Jan",2,"108","Control","3","3A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"79",120,0.29,15,2,31,1e-04,31,3.23e-06,1e-04,42.9,"DW","18-Jan",5,"155","Control","4","4A","T. pratense","Greece","T. repens","Idaho","treat"
"80",121,0.26,13,2,112,0.0223,112,0.000199107,0.0223,49.4,"DW","18-Jan",5,"145","Control","3","3A","T. pratense","Greece","T. repens","Chile","treat"
"81",123,0.25,12,1,148,0.0115,148,7.77e-05,0.0115,42.7,"DW","18-Jan",5,"527","Nitrogen","3","3B","T. pratense","Greece","T. pratense","Greece","treat"
"82",124,0.44,6,1,195,0.007,195,3.59e-05,0.007,37.1,"DW","17-Jan",4,"344","Control","6","6A","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"83",125,0.1,4,1,0,NA,NA,NA,NA,22.4,"RP","17-Jan",4,"40","Nitrogen","3","3B","T. repens","Idaho","T. hybridum","Russia","treat"
"84",126,0.22,8,1,124,0.0229,124,0.000184677,0.0229,44.8,"JL","15-Jan",2,"100","Control","5","5A","T. hybridum","Russia","T. pratense","Greece","treat"
"85",127,0.35,6,1,161,0.0388,161,0.000240994,0.0388,47.8,"JL","15-Jan",2,"901","Control","2","2A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"86",131,0.13,6,1,388,0.0095,318,2.99e-05,0.011591195,26.7,"MH","18-Jan",5,"729","Control","1","1A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"87",135,0.39,6,1,220,0.0327,220,0.000148636,0.0327,34.8,"MH","17-Jan",4,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. pratense","Greece","treat"
"88",139,0.25,9,1,125,NA,100,NA,NA,29.5,"CPT","17-Jan",4,"699","Nitrogen","5","5B","T. repens","Chile","T. hybridum","Russia","treat"
"89",140,0.07,4,1,29,0.001,29,3.45e-05,0.001,28.7,"CPT","17-Jan",4,"636","Control","1","1A","T. repens","Chile","T. hybridum","Russia","treat"
"90",143,0.06,5,1,50,0.0223,50,0.000446,0.0223,22,"JL","17-Jan",4,"559","Control","4","4A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"91",144,0.37,7,1,550,0.0161,160,0.000100625,0.05534375,24,"JL","17-Jan",4,"498","Nitrogen","5","5B","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"92",145,0.22,5,1,68,0.0365,68,0.000536765,0.0365,32,"JL","17-Jan",4,"773","Nitrogen","4","4B","T. pratense","Greece","T. pratense","Greece","treat"
"93",150,0.25,7,1,556,0.0143,556,2.57e-05,0.0143,20.4,"MH","17-Jan",4,"699","Nitrogen","5","5B","T. repens","Chile","T. repens","Idaho","treat"
"94",151,0.28,14,2,43,0.0062,43,0.000144186,0.0062,50,"CPT","17-Jan",4,"56","Nitrogen","5","5B","T. repens","Idaho","T. hybridum","Russia","treat"
"95",152,0.43,9,1,68,0.0161,68,0.000236765,0.0161,51.9,"CPT","17-Jan",4,"758","Control","1","1A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"96",155,0.46,14,1,24,0.0014,24,5.83e-05,0.0014,52.2,"JL","17-Jan",4,"228","Control","1","1A","T. pratense","Greece","T. hybridum","Colorado","treat"
"97",157,0.21,10,1,3,0.003,3,0.001,0.003,37,"JL","17-Jan",4,"559","Control","4","4A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"98",158,0.11,7,1,20,1e-04,20,5e-06,1e-04,26,"JL","17-Jan",4,"511","Nitrogen","3","3B","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"99",162,0.09,17,3,69,0.0072,69,0.000104348,0.0072,44.4,"MH","18-Jan",5,"651","Nitrogen","6","6B","T. hybridum","Russia","T. repens","Idaho","treat"
"100",164,0.25,9,1,195,0.0119,195,6.1e-05,0.0119,43.8,"CPT","17-Jan",4,"113","Control","6","6A","T. hybridum","Colorado","T. pratense","Greece","treat"
"101",165,0.22,6,1,121,0.0048,121,3.97e-05,0.0048,9.7,"MH","18-Jan",5,"762","Nitrogen","5","5B","T. pratense","Greece","T. hybridum","Russia","treat"
"102",166,0.4,22,3,48,0.0161,48,0.000335417,0.0161,51.3,"JL","17-Jan",4,"308","Control","6","6A","T. pratense","Pennsylvania","T. repens","Chile","treat"
"103",167,0.14,9,1,32,0.0014,32,4.375e-05,0.0014,23.6,"JL","17-Jan",4,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. hybridum","Russia","treat"
"104",169,0.35,13,3,41,0.0206,41,0.000502439,0.0206,55.8,"DW","18-Jan",5,"3","Control","6","6A","T. repens","Idaho","T. repens","Chile","treat"
"105",173,0.28,9,1,340,NA,100,NA,NA,33.1,"CPT","17-Jan",4,"262","Nitrogen","2","2B","T. repens","Idaho","T. pratense","Greece","treat"
"106",174,0.41,14,1,117,0.0201,117,0.000171795,0.0201,47.1,"CPT","17-Jan",4,"74","Control","1","1A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"107",175,0.41,5,1,143,0.0112,143,7.83e-05,0.0112,44.7,"CPT","17-Jan",4,"478","Nitrogen","2","2B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"108",176,0.52,27,4,99,0.0258,99,0.000260606,0.0258,52.3,"JL","18-Jan",5,"231","Nitrogen","6","6B","T. repens","France","T. repens","Chile","treat"
"109",177,0.45,8,1,117,0.0126,117,0.000107692,0.0126,52.7,"MH","18-Jan",5,"328","Nitrogen","2","2B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"110",179,0.45,11,1,368,0.0094,368,2.55e-05,0.0094,40.4,"CPT","17-Jan",4,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"111",180,0.4,25,3,131,0.0579,131,0.000441985,0.0579,44.8,"JL","17-Jan",4,"325","Control","4","4A","T. repens","Chile","T. repens","Idaho","treat"
"112",182,0.35,9,1,332,0.0391,332,0.000117771,0.0391,50,"JL","18-Jan",5,"344","Control","6","6A","T. pratense","Greece","T. pratense","Greece","treat"
"113",183,0.05,5,1,52,8e-04,52,1.54e-05,8e-04,20.7,"DW","18-Jan",5,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. hybridum","Russia","treat"
"114",185,0.18,6,1,114,0.0458,114,0.000401754,0.0458,33.5,"JL","18-Jan",5,"438","Control","4","4A","T. hybridum","Russia","T. pratense","Greece","treat"
"115",186,1.5,28,4,93,0.0274,93,0.000294624,0.0274,45.7,"DW","17-Jan",4,"462","Control","5","5A","T. hybridum","Colorado","T. repens","Idaho","treat"
"116",187,0.12,6,1,120,0.0115,70,0.000164286,0.019714286,15.3,"JL","17-Jan",4,"415","Control","3","3A","T. repens","Idaho","T. hybridum","Russia","treat"
"117",188,0.7,29,4,79,0.0344,79,0.000435443,0.0344,51.7,"JL","17-Jan",4,"108","Control","3","3A","T. hybridum","Colorado","T. repens","Chile","treat"
"118",189,0.14,6,1,168,0.0195,168,0.000116071,0.0195,51.2,"DW","18-Jan",5,"61","Nitrogen","5","5B","T. pratense","Germany","T. hybridum","Russia","treat"
"119",192,0.41,19,2,97,0.0084,97,8.66e-05,0.0084,53.4,"TB","17-Jan",4,"438","Control","4","4A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"120",193,0.55,30,5,41,0.0192,41,0.000468293,0.0192,46.7,"JL","17-Jan",4,"228","Control","1","1A","T. pratense","Greece","T. repens","Chile","treat"
"121",194,0.86,20,3,92,0.0305,92,0.000331522,0.0305,52.7,"JL","17-Jan",4,"56","Nitrogen","5","5B","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"122",195,0.48,11,1,202,0.0902,202,0.000446535,0.0902,44.7,"JL","17-Jan",4,"50","Control","1","1A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"123",198,0.67,56,4,124,0.0517,124,0.000416935,0.0517,47.3,"JL","17-Jan",4,"61","Nitrogen","5","5B","T. pratense","Germany","T. repens","Idaho","treat"
"124",199,0.65,18,4,28,0.0578,28,0.002064286,0.0578,44.4,"DW","18-Jan",5,"762","Nitrogen","5","5B","T. pratense","Greece","T. repens","Chile","treat"
"125",202,0.6,21,5,190,0.0248,190,0.000130526,0.0248,48.2,"DW","19-Jan",6,"729","Control","1","1A","T. hybridum","Colorado","T. repens","Chile","treat"
"126",203,0.34,17,2,328,0.0263,328,8.02e-05,0.0263,36.8,"TB","17-Jan",4,"837","Control","3","3A","T. hybridum","Russia","T. hybridum","Russia","treat"
"127",207,0.22,11,1,190,0.0504,190,0.000265263,0.0504,42.8,"JL","17-Jan",4,"460","Control","3","3A","T. repens","Chile","T. hybridum","Russia","treat"
"128",208,0.54,37,3,118,0.03,118,0.000254237,0.03,51.7,"JL","17-Jan",4,"344","Control","6","6A","T. pratense","Greece","T. repens","Idaho","treat"
"129",210,0.5,16,3,185,0.0774,185,0.000418378,0.0774,40.1,"JL","17-Jan",4,"758","Control","1","1A","T. repens","Idaho","T. pratense","Greece","treat"
"130",212,0.65,35,4,37,0.0419,37,0.001132432,0.0419,45.4,"JL","17-Jan",4,"493","Control","5","5A","T. pratense","Greece","T. repens","Chile","treat"
"131",215,0.34,7,1,430,0.0299,170,0.000175882,0.075629412,36.1,"JL","17-Jan",4,"478","Nitrogen","2","2B","T. repens","Chile","T. pratense","Greece","treat"
"132",216,0.45,13,1,88,0.0254,88,0.000288636,0.0254,43.8,"DW","19-Jan",6,"717","Nitrogen","6","6B","T. pratense","Greece","T. pratense","Greece","treat"
"133",219,0.44,26,4,68,0.0185,68,0.000272059,0.0185,39.5,"JL","17-Jan",4,"499","Control","3","3A","T. pratense","Pennsylvania","T. hybridum","Colorado","treat"
"134",220,0.43,8,1,175,0.0274,175,0.000156571,0.0274,50.1,"JL","17-Jan",4,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"135",223,0.43,13,2,130,0.0113,130,8.69e-05,0.0113,38.3,"JL","17-Jan",4,"726","Control","6","6A","T. hybridum","Russia","T. pratense","Greece","treat"
"136",224,0.45,10,1,259,0.1209,259,0.000466795,0.1209,38,"JL","17-Jan",4,"209","Nitrogen","6","6B","T. hybridum","Greece","T. pratense","Greece","treat"
"137",225,0.43,31,4,183,0.0562,183,0.000307104,0.0562,46,"JL","17-Jan",4,"344","Control","6","6A","T. pratense","Greece","T. hybridum","Colorado","treat"
"138",226,0.09,10,1,25,0.0149,25,0.000596,0.0149,13.1,"TB","17-Jan",4,"40","Nitrogen","3","3B","T. repens","Idaho","T. hybridum","Russia","treat"
"139",227,0.07,6,1,1,5e-05,1,5e-05,5e-05,5.9,"JL","17-Jan",4,"3","Control","6","6A","T. repens","Idaho","T. hybridum","Russia","treat"
"140",228,0.31,10,1,147,0.037,147,0.000251701,0.037,43.5,"JL","17-Jan",4,"527","Nitrogen","3","3B","T. pratense","Greece","T. pratense","Greece","treat"
"141",229,0.41,24,4,87,0.1177,87,0.001352874,0.1177,38.4,"JL","17-Jan",4,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. repens","Chile","treat"
"142",230,0.81,13,2,159,0.0501,159,0.000315094,0.0501,55.7,"JL","17-Jan",4,"110","Control","4","4A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"143",231,0.11,5,1,74,0.0354,74,0.000478378,0.0354,37.6,"JL","17-Jan",4,"717","Nitrogen","6","6B","T. pratense","Greece","T. pratense","Greece","treat"
"144",233,0.58,30,6,400,0.075,400,0.0001875,0.075,49.6,"MH","18-Jan",5,"110","Control","4","4A","T. repens","Idaho","T. repens","Idaho","treat"
"145",235,0.07,6,1,31,7e-04,31,2.26e-05,7e-04,14.4,"JL","17-Jan",4,"478","Nitrogen","2","2B","T. repens","Chile","T. hybridum","Russia","treat"
"146",236,0.13,7,1,2,0.0021,2,0.00105,0.0021,NA,"JL","17-Jan",4,"559","Control","4","4A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"147",239,0.33,7,1,37,0.041,37,0.001108108,0.041,45.5,"JL","17-Jan",4,"3","Control","6","6A","T. repens","Idaho","T. pratense","Greece","treat"
"148",243,0.28,33,1,1010,0.0057,237,2.41e-05,0.024291139,26,"ES","17-Jan",4,"449","Control","2","2A","T. hybridum","Russia","T. repens","Chile","treat"
"149",245,0.22,8,1,10,0.0026,10,0.00026,0.0026,36.4,"DW","19-Jan",6,"3","Control","6","6A","T. repens","Idaho","T. pratense","Greece","treat"
"150",246,0.63,14,1,86,0.0045,86,5.23e-05,0.0045,50.3,"ES","17-Jan",4,"462","Control","5","5A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"151",248,0.5,21,3,155,0.0275,155,0.000177419,0.0275,51,"DW","19-Jan",6,"762","Nitrogen","5","5B","T. pratense","Greece","T. repens","Idaho","treat"
"152",251,0.66,58,5,120,0.0423,120,0.0003525,0.0423,50.8,"DW","21-Jan",8,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. repens","Idaho","treat"
"153",253,0.14,12,1,20,0.036,20,0.0018,0.036,45.6,"ES","17-Jan",4,"773","Nitrogen","4","4B","T. pratense","Greece","T. hybridum","Colorado","treat"
"154",254,0.3,10,2,240,0.0236,100,0.000236,0.05664,46.3,"JL","19-Jan",6,"108","Control","3","3A","T. hybridum","Colorado","T. pratense","Greece","treat"
"155",256,0.47,16,4,104,0.0273,100,0.000273,0.028392,43.1,"MH","19-Jan",6,"478","Nitrogen","2","2B","T. repens","Chile","T. repens","Idaho","treat"
"156",259,0.01,5,1,44,0.0018,44,4.09e-05,0.0018,NA,"DW","21-Jan",8,"325","Control","4","4A","T. repens","Chile","T. hybridum","Russia","treat"
"157",262,0.69,32,4,135,0.0672,121,0.000555372,0.074975207,53.6,"DW","21-Jan",8,"901","Control","2","2A","T. repens","Idaho","T. repens","Chile","treat"
"158",264,0.28,10,2,126,0.0206,100,0.000206,0.025956,45.5,"MH","21-Jan",8,"461","Control","2","2A","T. hybridum","Colorado","T. pratense","Greece","treat"
"159",265,0.61,17,1,127,0.0414,110,0.000376364,0.047798182,40.8,"DW","21-Jan",8,"318","Control","2","2A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
