"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"446",775,1.39,25,2,45,0.0055,45,0.000122222,0.0055,48.9,"MH","7-Feb",25,"160","Control","5","5A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"447",776,0.93,24,1,658,0.0169,108,0.000156481,0.102964815,38.2,"MH","6-Feb",24,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. pratense","Greece","treat"
"448",778,0.61,29,4,46,NA,46,NA,NA,39.1,"TS","7-Feb",25,"228","Control","1","1A","T. pratense","Greece","T. repens","Idaho","treat"
"449",780,0.72,21,4,201,0.0102,100,0.000102,0.020502,40.1,"MH","6-Feb",24,"344","Control","6","6A","T. pratense","Greece","T. hybridum","Colorado","treat"
"450",781,0.86,62,9,102,0.0207,102,0.000202941,0.0207,54.3,"JL","5-Feb",23,"499","Control","3","3A","T. pratense","Pennsylvania","T. repens","Idaho","treat"
"451",782,1.21,40,4,259,NA,100,NA,NA,48.8,"DW","7-Feb",25,"108","Control","3","3A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"452",783,0.15,17,1,1105,0.0085,104,8.17e-05,0.0903125,15.8,"DW","8-Feb",26,"498","Nitrogen","5","5B","T. hybridum","Colorado","T. repens","Idaho","treat"
"453",784,0.78,49,4,190,0.0271,101,0.000268317,0.050980198,48.3,"DW","8-Feb",26,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. repens","Idaho","treat"
"454",787,1.06,12,1,192,0.062,109,0.000568807,0.109211009,51.4,"DW","8-Feb",26,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"455",788,0.135,11,1,400,0.0014,100,1.4e-05,0.0056,28.2,"MH","7-Feb",25,"699","Nitrogen","5","5B","T. repens","Chile","T. hybridum","Russia","treat"
"456",789,0.6,17,3,293,0.0489,100,0.000489,0.143277,37.9,"JL","8-Feb",26,"173","Control","2","2A","T. repens","Chile","T. pratense","Greece","treat"
"457",791,0.84,32,6,68,0.0367,68,0.000539706,0.0367,49.4,"JL","8-Feb",26,"74","Control","1","1A","T. hybridum","Russia","T. repens","Idaho","treat"
"458",792,0.6,17,1,710,0.0257,100,0.000257,0.18247,36.4,"DW","8-Feb",26,"651","Nitrogen","6","6B","T. hybridum","Russia","T. pratense","Greece","treat"
"459",793,1.05,47,4,241,0.0135,100,0.000135,0.032535,51.9,"DW","8-Feb",26,"462","Control","5","5A","T. hybridum","Colorado","T. repens","Chile","treat"
"460",795,0.38,48,4,1557,0.016,102,0.000156863,0.244235294,15.6,"DW","9-Feb",27,"100","Control","5","5A","T. hybridum","Russia","T. repens","Idaho","treat"
"461",796,0.64,15,2,554,0.0166,100,0.000166,0.091964,39.4,"DW","9-Feb",27,"344","Control","6","6A","T. pratense","Greece","T. pratense","Greece","treat"
"462",797,0.86,13,2,162,0.0227,100,0.000227,0.036774,47.7,"JL","9-Feb",27,"110","Control","4","4A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"463",799,0.61,25,4,91,0.0357,91,0.000392308,0.0357,42.8,"JL","8-Feb",26,"110","Control","4","4A","T. repens","Idaho","T. pratense","Greece","treat"
"464",800,0.51,19,3,63,0.0147,63,0.000233333,0.0147,58.2,"JL","8-Feb",26,"706","Control","4","4A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"465",802,0.81,20,2,457,0.0352,100,0.000352,0.160864,45.2,"TS","7-Feb",25,"325","Control","4","4A","T. repens","Chile","T. pratense","Greece","treat"
"466",803,0.14,10,1,416,0.0328,100,0.000328,0.136448,32.1,"TS","8-Feb",26,"859","Nitrogen","4","4B","T. repens","Chile","T. hybridum","Russia","treat"
"467",806,1.04,29,3,84,0.0119,84,0.000141667,0.0119,41.9,"JL","9-Feb",27,"596","Nitrogen","1","1B","T. repens","Idaho","T. hybridum","Colorado","treat"
"468",807,0.54,6,1,76,0.0102,76,0.000134211,0.0102,49.2,"JL","9-Feb",27,"438","Control","4","4A","T. hybridum","Russia","T. pratense","Pennsylvania","treat"
"469",808,0.46,16,3,131,0.0449,131,0.000342748,0.0449,33.5,"JL","8-Feb",26,"108","Control","3","3A","T. hybridum","Colorado","T. pratense","Greece","treat"
"470",812,0.81,51,3,90,0.0112,90,0.000124444,0.0112,36.8,"TS","8-Feb",26,"627","Control","6","6A","T. repens","Chile","T. repens","Idaho","treat"
"471",813,0.52,11,1,287,0.02,110,0.000181818,0.052181818,38.7,"MH","9-Feb",27,"901","Control","2","2A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"472",814,1.02,51,6,228,0.0415,100,0.000415,0.09462,43.3,"JL","9-Feb",27,"173","Control","2","2A","T. repens","Chile","T. repens","Idaho","treat"
"473",819,1.06,12,2,166,0.0288,100,0.000288,0.047808,41.8,"JL","8-Feb",26,"381","Nitrogen","3","3B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"474",820,0.56,16,3,830,0.0061,100,6.1e-05,0.05063,31.1,"JL","8-Feb",26,"651","Nitrogen","6","6B","T. hybridum","Russia","T. hybridum","Colorado","treat"
